Time[s],USET[V],ISET[A],UOUT[V],IOUT[A],POUT[W],UIN[V],PROT,CVCC,calls,res,cmt,R,G,B,W,Lux,K,CIEx,CIEy
10.468,0.05,0.500,0.05,0.009,00.00,24.29, 0, 0,    1,.  ,   ,7514,10546,954,48934,22,1778.5,0.540,0.335
14.576,0.10,0.500,0.09,0.023,00.00,24.28, 0, 0,    2,.  ,   ,7538,10532,954,48952,22,1788.7,0.541,0.334
18.680,0.15,0.500,0.15,0.035,00.00,24.29, 0, 0,    3,.  ,   ,7498,10526,958,48814,22,1777.7,0.540,0.335
22.793,0.20,0.500,0.20,0.043,00.00,24.28, 0, 0,    4,.  ,   ,7524,10556,960,48982,22,1779.1,0.540,0.335
26.898,0.25,0.500,0.25,0.049,00.01,24.29, 0, 0,    5,.  ,   ,7546,10570,964,49064,22,1782.5,0.540,0.335
31.010,0.30,0.500,0.29,0.052,00.01,24.29, 0, 0,    6,.  ,   ,7528,10568,958,48914,22,1777.9,0.540,0.335
35.115,0.35,0.500,0.34,0.056,00.01,24.28, 0, 0,    7,.  ,   ,7570,10596,964,49054,22,1784.3,0.540,0.335
39.230,0.40,0.500,0.40,0.059,00.02,24.29, 0, 0,    8,.  ,   ,7510,10578,970,49008,22,1770.5,0.538,0.335
43.335,0.45,0.500,0.45,0.061,00.02,24.28, 0, 0,    9,.  ,   ,7516,10528,966,48824,22,1782.3,0.540,0.334
47.450,0.50,0.500,0.50,0.062,00.03,24.29, 0, 0,   10,.  ,   ,7524,10534,964,48892,22,1783.5,0.540,0.334
51.558,0.55,0.500,0.55,0.064,00.03,24.29, 0, 0,   11,.  ,   ,7526,10550,964,48948,22,1780.8,0.540,0.335
55.667,0.60,0.500,0.59,0.065,00.03,24.29, 0, 0,   12,.  ,   ,7514,10548,928,48934,22,1779.2,0.542,0.336
59.779,0.65,0.500,0.65,0.067,00.04,24.29, 0, 0,   13,.  ,   ,7458,10560,928,47922,22,1762.0,0.540,0.338
63.882,0.70,0.500,0.70,0.069,00.04,24.29, 0, 0,   14,.  ,   ,7530,10548,960,49056,22,1782.5,0.540,0.335
68.001,0.75,0.500,0.76,0.070,00.05,24.28, 0, 0,   15,.  ,   ,7496,10560,968,49034,22,1770.2,0.538,0.335
72.102,0.80,0.500,0.80,0.072,00.05,24.29, 0, 0,   16,.  ,   ,6848,9576,874,46118,20,1786.4,0.540,0.334
76.213,0.85,0.500,0.86,0.074,00.06,24.29, 0, 0,   17,.  ,   ,6810,9522,888,47552,20,1785.7,0.539,0.333
80.326,0.90,0.500,0.90,0.075,00.06,24.28, 0, 0,   18,.  ,   ,7376,10282,950,48570,22,1793.5,0.540,0.333
84.432,0.95,0.500,0.95,0.077,00.07,24.29, 0, 0,   19,.  ,   ,7050,9826,900,46726,21,1794.3,0.541,0.334
88.544,1.00,0.500,1.00,0.079,00.07,24.29, 0, 0,   20,.  ,   ,7426,10342,948,49174,22,1796.2,0.541,0.333
92.657,1.05,0.500,1.05,0.080,00.08,24.28, 0, 0,   21,.  ,   ,7518,10504,976,50442,22,1787.7,0.539,0.333
96.758,1.10,0.500,1.11,0.082,00.09,24.29, 0, 0,   22,.  ,   ,7476,10426,976,50964,22,1791.8,0.539,0.333
100.877,1.15,0.500,1.14,0.083,00.09,24.28, 0, 0,   23,.  ,   ,7466,10444,968,51304,22,1784.9,0.539,0.334
104.981,1.20,0.500,1.20,0.085,00.10,24.29, 0, 0,   24,.  ,   ,7456,10408,978,52170,22,1789.3,0.539,0.333
109.094,1.25,0.500,1.25,0.087,00.10,24.28, 0, 0,   25,.  ,   ,7446,10418,980,53198,22,1783.9,0.538,0.333
113.205,1.30,0.500,1.30,0.088,00.11,24.29, 0, 0,   26,.  ,   ,7414,10352,982,54438,22,1788.3,0.538,0.332
117.308,1.35,0.500,1.35,0.090,00.12,24.28, 0, 0,   27,.  ,   ,7444,10332,986,55908,22,1803.2,0.539,0.331
121.425,1.40,0.500,1.41,0.092,00.12,24.28, 0, 0,   28,.  ,   ,7416,10352,992,57610,22,1788.5,0.537,0.332
125.528,1.45,0.500,1.45,0.093,00.13,24.29, 0, 0,   29,.  ,   ,7446,10312,990,59178,22,1809.0,0.539,0.330
129.645,1.50,0.500,1.50,0.094,00.14,24.29, 0, 0,   30,.  ,   ,7488,10340,994,61286,22,1817.2,0.540,0.329
133.747,1.55,0.500,1.55,0.096,00.14,24.28, 0, 0,   31,.  ,   ,7484,10328,1012,64188,22,1818.1,0.539,0.329
137.858,1.60,0.500,1.61,0.098,00.15,24.28, 0, 0,   32,.  ,   ,7510,10324,1030,67116,22,1829.0,0.538,0.327
141.973,1.65,0.500,1.65,0.099,00.16,24.28, 0, 0,   33,.  ,   ,7542,10348,1038,70292,22,1834.9,0.538,0.327
146.084,1.70,0.500,1.71,0.101,00.17,24.28, 0, 0,   34,.  ,   ,7578,10374,1028,73828,22,1843.0,0.540,0.327
150.190,1.75,0.500,1.75,0.102,00.17,24.29, 0, 0,   35,.  ,   ,7614,10376,1040,76748,22,1858.2,0.540,0.326
154.297,1.80,0.500,1.80,0.103,00.18,24.28, 0, 0,   36,.  ,   ,7640,10416,1052,81286,22,1856.2,0.540,0.325
158.407,1.85,0.500,1.85,0.105,00.19,24.28, 0, 0,   37,.  ,   ,7718,10472,1068,86168,22,1873.5,0.540,0.324
162.515,1.90,0.500,1.90,0.106,00.20,24.28, 0, 0,   38,.  ,   ,7846,10554,1080,92028,22,1908.6,0.542,0.322
166.625,1.95,0.500,1.95,0.108,00.21,24.28, 0, 0,   39,.  ,   ,7954,10674,1106,98164,22,1918.3,0.542,0.321
170.741,2.00,0.500,2.01,0.109,00.21,24.28, 0, 0,   40,.  ,   ,8106,10852,1116,104068,23,1929.6,0.543,0.321
174.849,2.05,0.500,2.04,0.111,00.22,24.28, 0, 0,   41,.  ,   ,8236,10990,1146,110630,23,1944.2,0.542,0.320
178.960,2.10,0.500,2.10,0.112,00.23,24.28, 0, 0,   42,.  ,   ,8310,11032,1180,117458,23,1968.3,0.542,0.318
183.074,2.15,0.500,2.15,0.114,00.24,24.28, 0, 0,   43,.  ,   ,8522,11210,1190,125682,24,2018.2,0.545,0.317
187.183,2.20,0.500,2.20,0.115,00.25,24.28, 0, 0,   44,.  ,   ,8674,11352,1212,133966,24,2047.6,0.546,0.316
191.286,2.25,0.500,2.26,0.116,00.26,24.28, 0, 0,   45,.  ,   ,8870,11514,1248,143112,24,2098.3,0.546,0.314
195.400,2.30,0.500,2.30,0.118,00.27,24.28, 0, 0,   46,.  ,   ,9042,11686,1256,150584,25,2127.9,0.548,0.313
199.512,2.35,0.500,2.35,0.119,00.27,24.28, 0, 0,   47,.  ,   ,9266,11856,1266,160472,25,2200.1,0.551,0.312
203.617,2.40,0.500,2.40,0.121,00.29,24.28, 0, 0,   48,.  ,   ,9498,12120,1282,171942,26,2220.8,0.552,0.312
207.730,2.45,0.500,2.45,0.122,00.29,24.28, 0, 0,   49,.  ,   ,9780,12332,1328,183552,26,2317.8,0.554,0.309
211.843,2.50,0.500,2.51,0.123,00.30,24.28, 0, 0,   50,.  ,   ,10068,12664,1354,196294,27,2339.1,0.555,0.309
215.944,2.55,0.500,2.56,0.125,00.32,24.28, 0, 0,   51,.  ,   ,10456,13012,1390,210062,27,2437.3,0.558,0.307
220.060,2.60,0.500,2.60,0.125,00.32,24.28, 0, 0,   52,.  ,   ,10756,13336,1420,220714,28,2473.0,0.559,0.307
224.168,2.65,0.500,2.65,0.127,00.33,24.28, 0, 0,   53,.  ,   ,11166,13632,1446,236138,29,2577.0,0.562,0.305
228.273,2.70,0.500,2.70,0.128,00.34,24.28, 0, 0,   54,.  ,   ,11604,14154,1486,252114,30,2643.9,0.564,0.304
232.392,2.75,0.500,2.76,0.130,00.35,24.28, 0, 0,   55,.  ,   ,12040,14616,1520,269364,31,2697.0,0.566,0.304
236.494,2.80,0.500,2.81,0.131,00.36,24.28, 0, 0,   56,.  ,   ,12648,15204,1568,288176,32,2813.0,0.569,0.303
240.611,2.85,0.500,2.86,0.132,00.37,24.28, 0, 0,   57,.  ,   ,13136,15754,1598,306812,33,2839.8,0.571,0.303
244.718,2.90,0.500,2.90,0.133,00.38,24.28, 0, 0,   58,.  ,   ,13568,16078,1618,321422,34,2905.0,0.573,0.302
248.826,2.95,0.500,2.95,0.135,00.39,24.28, 0, 0,   59,.  ,   ,14194,16764,1602,342298,36,3030.6,0.579,0.302
252.931,3.00,0.500,3.00,0.135,00.40,24.28, 0, 0,   60,.  ,   ,14794,17376,1720,364112,37,3113.7,0.578,0.300
257.042,3.05,0.500,3.06,0.137,00.41,24.28, 0, 0,   61,.  ,   ,15540,18136,1696,386354,38,3194.5,0.583,0.301
261.155,3.10,0.500,3.11,0.139,00.43,24.28, 0, 0,   62,.  ,   ,16268,18892,1740,410470,40,3264.2,0.585,0.301
265.263,3.15,0.500,3.16,0.140,00.44,24.28, 0, 0,   63,.  ,   ,17060,19768,1792,435288,42,3293.9,0.587,0.301
269.369,3.20,0.500,3.20,0.141,00.45,24.28, 0, 0,   64,.  ,   ,17714,20450,1836,455008,43,3348.1,0.589,0.301
273.481,3.25,0.500,3.25,0.142,00.46,24.28, 0, 0,   65,.  ,   ,18644,21318,1884,482466,45,3495.4,0.592,0.299
277.597,3.30,0.500,3.31,0.143,00.47,24.28, 0, 0,   66,.  ,   ,19582,22338,1944,511718,48,3529.6,0.593,0.299
281.699,3.35,0.500,3.36,0.145,00.48,24.28, 0, 0,   67,.  ,   ,20444,23302,1890,538968,50,3525.7,0.598,0.302
285.814,3.40,0.500,3.41,0.145,00.49,24.28, 0, 0,   68,.  ,   ,21534,24388,1880,568750,52,3617.8,0.602,0.302
289.925,3.45,0.500,3.45,0.146,00.50,24.28, 0, 0,   69,.  ,   ,22296,25272,2000,592452,54,3610.5,0.601,0.301
294.031,3.50,0.500,3.50,0.148,00.51,24.28, 0, 0,   70,.  ,   ,23412,26464,2054,625632,56,3651.4,0.603,0.301
298.147,3.55,0.500,3.55,0.149,00.52,24.28, 0, 0,   71,.  ,   ,24692,27676,2036,659662,59,3781.0,0.608,0.301
302.256,3.60,0.500,3.61,0.150,00.54,24.28, 0, 0,   72,.  ,   ,25972,29072,2160,694370,62,3806.6,0.607,0.301
306.360,3.65,0.500,3.66,0.152,00.55,24.28, 0, 0,   73,.  ,   ,27302,30510,2202,730456,65,3827.8,0.609,0.301
310.474,3.70,0.500,3.71,0.152,00.56,24.28, 0, 0,   74,.  ,   ,28660,32026,2260,767982,68,3822.9,0.611,0.302
314.579,3.75,0.500,3.75,0.153,00.57,24.28, 0, 0,   75,.  ,   ,29776,33202,2258,805272,71,3850.7,0.613,0.302
318.697,3.80,0.500,3.80,0.155,00.58,24.28, 0, 0,   76,.  ,   ,31336,34826,2304,846680,74,3901.8,0.615,0.302
